1768845209.1007378,0.0,24.9,50.4,0.1,0.0,79.5
1768845212.9571607,38.5,27.4,0.0,0.1,0.0,66.7
1768845216.864799,42.6,46.6,0.1,0.1,0.0,62.2
1768845220.6967628,35.5,27.8,0.1,0.1,0.0,34.4
1768845224.588272,34.3,31.6,0.0,0.1,0.0,70.7
1768845228.5696883,38.4,24.6,0.0,0.1,0.0,66.4
1768845232.3820195,0.0,27.9,26.3,0.1,0.0,54.2
1768845236.4190807,0.0,25.8,32.9,0.1,0.0,60.0
1768845240.2832246,0.0,29.4,56.4,0.1,0.0,89.7
1768845244.230269,36.6,32.6,7.2,0.1,0.0,58.0
1768845248.0438852,42.4,28.5,0.0,0.1,0.0,65.4
1768845252.3479552,0.0,28.1,52.7,0.1,0.0,77.8
1768845256.481753,0.1,47.1,0.3,0.3,0.0,144.4
1768845260.266679,36.4,27.9,0.0,0.1,0.0,67.8
1768845264.1224074,42.5,27.8,0.0,0.1,0.0,58.7
1768845268.039106,38.1,24.7,0.0,0.1,0.0,67.0
1768845272.0198925,0.0,28.8,59.3,0.1,0.0,83.6
1768845276.275302,0.0,24.7,65.0,0.1,0.0,94.3
1768845280.4678276,39.9,25.1,0.0,0.2,0.0,65.7
1768845284.4551659,42.0,25.2,0.1,0.1,0.0,68.8
1768845288.3757281,40.8,26.1,0.0,0.1,0.0,62.3
1768845292.2630208,37.9,25.5,0.0,0.2,0.0,70.3
1768845296.1168265,17.6,27.6,20.9,0.1,0.0,81.6
1768845299.9742064,6.1,28.8,0.0,0.1,0.0,64.9
1768845303.9081087,40.7,42.1,0.0,0.1,0.0,66.0
1768845307.8838837,35.6,28.7,0.1,0.1,0.0,69.0
1768846153.8307533,29.0,25.1,0.0,0.1,0.0,73.1
1768846157.7225344,38.9,24.7,0.0,0.1,0.0,72.3
1768846161.6388683,35.7,25.7,0.0,0.1,0.0,69.9
1768846165.4986086,42.8,24.5,0.0,0.1,0.0,66.7
1768846169.447953,17.7,26.4,19.6,0.1,0.0,85.1
1768846173.304294,36.1,26.7,0.2,0.1,0.0,65.6
1768846177.1757352,44.2,37.2,0.1,0.1,0.0,66.7
1768846183.4037707,0.0,29.1,144.9,0.1,0.0,171.7
1768846193.115324,0.0,29.1,110.8,0.1,0.0,139.3
1768846199.5808163,33.8,24.9,0.1,0.2,0.0,72.2
1768846203.402365,7.0,27.8,0.0,0.1,0.0,66.7
1768846207.3519337,35.9,26.5,0.1,0.1,0.0,67.7
1768846211.307553,41.9,25.8,0.0,0.1,0.0,63.5
1768850462.8514366,0.0,27.1,27.0,0.1,0.0,53.0
1768850496.4819996,0.1,28.4,28.7,10.3,564.2,631.3
1768850529.9457538,0.0,25.8,0.0,2.3,477.3,505.9
1768850564.839201,0.0,30.2,33.2,6.3,575.2,648.9
1768853173.4899118,0.1,29.9,0.0,3.7,516.9,552.7
1768853214.4024663,0.0,30.3,45.4,4.6,431.3,506.7
1768853255.122284,0.1,26.9,0.0,2.3,458.1,488.8
1768853294.1517725,0.1,29.9,0.2,5.3,487.6,523.1
1768853332.7519872,0.0,27.8,12.5,4.1,470.7,516.5
1768854429.755148,0.0,25.5,171.9,12.4,465.8,682.4
1768854470.7904267,0.1,28.3,202.0,4.2,556.8,798.9
1768854511.534102,0.0,26.5,57.0,4.1,455.7,544.8
1768854552.2096665,0.1,33.2,179.6,4.1,496.9,709.5
1768854594.843289,0.2,24.9,14.3,5.2,502.1,554.3
1768854633.7980554,0.1,30.3,0.0,4.4,436.6,469.9
1768854667.779722,0.2,27.7,0.1,10.8,554.3,595.0
1768854700.720958,0.0,30.5,0.0,2.3,475.6,509.7
1768854738.1116529,0.0,25.6,58.3,4.2,716.1,808.4
1768854777.4269354,0.1,33.0,146.7,6.2,617.4,806.8
1768854821.1447425,0.1,38.2,214.1,8.1,515.4,768.2
